RENT EXPENSE	GENERAL AND ADMIN	
WEBSITE HOSTING COST	OPERATING EXPENSE
SUPPLIES	COST OF GOODS SOLD
RAW MATERIALS PURCHASES	COST OF GOODS SOLD
GENERAL AND ADMIN EXPENSES	GENERAL AND ADMIN
OFFICE SUPPLIES	GENERAL AND ADMIN
WEBSITE HOSTING COST	GENERAL AND ADMIN
TAX PAYMENT	TAX
SALES ON AR	REVENUE
DOMAIN NAME PURCHASE	OPERATING EXPENSE
MONTHLY SALARY PAYMENT	OPERATING EXPENSE
MISCELLANEOUS EXP	GENERAL AND ADMIN
ADVERTISING EXPENSE	OPERATING EXPENSE
GVTN	TAX
INTEREST EXPENSE MONTHLY	INTEREST
MARKETING EXPENSE	OPERATING EXPENSE
REVENUE	REVENUE
